id,branch_code,branch_name,city,region,address,latitude,longitude,phone,status,has_atm,has_payment_terminal
91,940.163,ЦБО №163,Аксай,Западно-Казахстанская область,"4 мкр., дружба народов  50",51.1592604,53.0257189,7711,Открыто,True,True
45,930.000,ЦБО Центральное,Актау,Мангыстауская область,"15 мкр., здание 67 А",43.667795,51.1348554,7711,Открыто,True,True
34,910.000,ЦБО Центральное,Актобе,Актюбинская область,"пр. Абылхаир хана, 42 н.п.1А",50.2988384,57.1544503,7711,Открыто,True,True
35,910.199,ЦБО №199,Актобе,Актюбинская область,ул. 101 Стрелковой Бригады дом 10В,50.285898,57.164913,7711,Открыто,True,True
6,200.000,ЦБО Центральное,Алматы,Алматы,"пр. Аль-Фараби, д. 15, блок 4 В",43.2311621,76.9450809,7711,Открыто,True,True
11,200.251,VIP центр №251,Алматы,Алматы,"пр. Аль-Фараби, д. 140А",43.2121306,76.9217601,7711,Открыто,False,False
12,200.146,ЦБО №146,Алматы,Алматы,"пр. Райымбека, д. 505",43.243639,76.825854,7711,Открыто,True,True
19,200.270,ЦБО №270,Алматы,Алматы,"ул. Толе би, 83",43.2542904,76.9319364,7711,Открыто,True,True
21,200.269,РКО №269,Алматы,Алматы,ул. Сатпаева 90/28 ,43.2325254,76.880612,7711,Открыто,True,True
22,200.276,ЦБО №276,Алматы,Алматы,"ул. Пушкина, 23",43.2671912,76.9518249,7711,Открыто,True,True
27,200.204,РКО №204,Алматы,Алматы,"пр. Аль-Фараби, д. 140",43.2128322,76.9223646,7711,Открыто,False,False
77,200.001,ЦБО №1,Алматы,Алматы,"пр. Н.Назарбаева, д. 65",43.2634321,76.9454322,7711,Открыто,True,True
78,200.161,ЦБО №161,Алматы,Алматы,"пр. Абая, д. 111/107",43.2400122,76.9033001,7711,Открыто,True,True
79,200.272,ЦБО №272,Алматы,Алматы,"ул. Толе би , 24 ",43.2553418,76.9549517,7711,Открыто,True,True
81,200.271,ЦБО №271,Алматы,Алматы,"ул. Радостовца, 183а",43.2289242,76.8923604,7711,Открыто,True,True
82,200.275,ЦБО №275,Алматы,Алматы,"ул. Толе би , 177 а",43.2522194,76.9041842,7711,Открыто,True,True
84,200.278,ЦБО №278,Алматы,Алматы,"мкр. Мамыр-7, д. 17а",43.2095729,76.8420391,7711,Открыто,True,True
103,200.279,ЦБО №279,Алматы,Алматы,"ул. Шолохова, 15",43.3356317,76.9489298,7711,Открыто,True,True
116,200.282,VIP-центр №282,Алматы,Алматы,"пр. Аль-Фараби, д. 15, блок 4 В",43.2311621,76.9450809,7711,Открыто,False,False
107,900.298,ЦБО №298,Алтай,Восточно-Казахстанская область,"ул.Стахановская,32",49.723174,84.267777,7711,Открыто,True,True
0,120.240,"ЦБО №240 ""Бәйтерек""",Астана,Астана,"ул. Достык, д. 12",51.126144,71.425893,7711,Открыто,True,True
16,120.266,VIP-центр №266,Астана,Астана,"пр. Сығанақ, д. 17Д",51.1243108,71.4239149,7711,Открыто,False,False
18,120.241,VIP центр №241 ,Астана,Астана,"ул. Достык, д.1",51.1296998,71.4179973,7711,Открыто,False,False
83,120.340,РКО №340,Астана,Астана,"пр. Сығанақ, зд.40 ",51.126963,71.3994984,7711,Открыто,False,False
88,120.000,ЦБО Центральное,Астана,Астана,"ул. Сарайшик, д. 5а",51.135607,71.4244818,7711,Открыто,True,True
92,120.238,"VIP-центр №238 ""Сығанақ""",Астана,Астана,"ул. Сығанақ, зд. 70, ",51.120592,71.440921,7711,Открыто,False,False
117,120.003,"ЦБО №3 ""Республика""",Астана,Астана,"пр. Республики, д. 21, ВП 8",51.1636079,71.4275268,7711,Открыто,True,True
97,120.013,"ЦБО №13 ""Есей""",Астана,Астана,"ул. Сембинова, д. 25",51.1742814,71.4536113,7711,Открыто,True,True
109,120.201,"ЦБО №201 ""Сарыарка""",Астана,Астана,"пр. Сарыарка, д. 8",51.1609114,71.4112763,7711,Открыто,True,True
110,120.162,"ЦБО №162 ""Бейбитшилик""",Астана,Астана,"ул.  Бейбітшілік, д. 43",51.17907,71.4174709,7711,Открыто,True,True
111,120.222,"ЦБО №222 ""Тәуелсіздік""",Астана,Астана,"пр. Тәуелсіздік, д. 32",51.1413504,71.4645098,7711,Открыто,True,True
114,120.257,ЦБО №257,Астана,Астана,"пр. Кабанбай Батыра, д. 53",51.0889166,71.3985305,7711,Открыто,True,False
118,120.213,"ЦБО №213 ""Табыс""",Астана,Астана,"пр. Женис, д. 13",51.167408,71.413065,7711,Открыто,True,True
29,700.139,ЦБО №139,Астраханка,Акмолинская область,"ул. Аль-Фараби, д. 83",51.5285192,69.8021812,7711,Открыто,True,False
66,700.224,ЦБО №224,Атбасар,Акмолинская область,"ул. Валиханова, д. 11",51.8180417,68.3589868,7711,Открыто,True,False
24,920.255,РКО № 255,Атырау,Атырауская область,"пр. Әбілқайыр хана, 94",47.1049395,51.8702497,7711,Открыто,False,False
37,920.000,ЦБО Центральное,Атырау,Атырауская область,"ул. Бақтыгерей Құлманова, д. 144",47.106469,51.9011518,7711,Открыто,True,True
105,980.319,ЦБО №319,Аягоз,Абайская область,"ул. Ауэзова, 6/1                 ",47.9625793,80.4300536,7711,Открыто,True,True
23,800.050,ЦБО №50 (а.Бесколь),Бесколь,Северо-Казахстанская область,"ул. Институтская, д.1В",54.77118,69.095636,7711,Открыто,True,False
48,930.306,ЦБО №306,Жанаозен,Мангыстауская область,"мкр. Самал (3 мкр.), д. 14",43.342236,52.866115,7711,Открыто,True,True
36,990.323,ЦБО №323 ,Жетысай,Туркестанская область,"ул. Ауэзова, 47",40.7830271,68.3324199,7711,Открыто,True,True
43,600.034,VIP-центр №34,Караганда,Карагандинская область,"ул. Ерубаева, д. 24",49.8003413,73.0987194,7711,Открыто,True,True
51,600.291,ЦБО №291,Караганда,Карагандинская область,"пр. Н.Абдирова, 9",49.8027312,73.0933637,7711,Открыто,True,True
86,600.248,ЦБО №248,Караганда,Карагандинская область,"ул. Язева, строение 14/1",49.7763005,73.1343452,7711,Открыто,True,True
94,600.000,ЦБО Центральное,Караганда,Карагандинская область,"ул. Чкалова, д. 7/4",49.8136229,73.0750365,7711,Открыто,True,True
74,230.000,ЦБО Центральное,Каскелен,Алматинская область,"ул. Абылай хана, д. 88",43.2035748,76.6206057,7711,Открыто,True,True
65,700.000,ЦБО Центральное,Кокшетау,Акмолинская область,"ул. Ауэзова, д. 151",53.287154,69.3761817,7711,Открыто,True,True
40,230.283,ЦБО №283,Конаев,Алматинская область,"3 мкрн,д. 1",43.8537463,77.0569863,7711,Открыто,True,True
38,500.000,ЦБО Центральное,Костанай,Костанайская область,"ул. Дулатова, д. 58",53.2148372,63.6347212,7711,Открыто,True,True
32,920.303,ЦБО №303,Кульсары,Атырауская область,"ул. Ұлықпан Абдрахманова, 33",46.9597355,54.0129612,7711,Открыто,True,True
98,970.000,ЦБО Центральное,Кызылорда,Кызылординская область,"ул. Желтоксан, д. 12",44.843684,65.5022136,7711,Открыто,True,True
64,960.315,ЦБО №315,Мерке,Жамбылская область,"ул. Исмаилова, 214/1",42.8713927,73.1981324,7711,Открыто,True,True
63,400.032,ЦБО №32,Павлодар,Павлодарская область,"пр. Н. Назарбаев, д. 29",52.288023,76.96786,7711,Открыто,True,True
99,400.000,ЦБО Центральное,Павлодар,Павлодарская область,"ул. Ак.Сатпаева, д.42",52.2900865,76.9398972,7711,Открыто,True,True
7,800.000,ЦБО Центральное,Петропавловск,Северо-Казахстанская область,"ул. Жабаева, д. 194а",54.8714284,69.146303,7711,Открыто,True,True
14,900.299,ЦБО №299,Риддер,Восточно-Казахстанская область,"пр. Независимости, 16",50.3384102,83.5055402,7711,Открыто,True,True
95,500.021,ЦБО №21,Рудный,Костанайская область,"ул. Ленина, д. 153а",52.9634509,63.1451678,7711,Открыто,True,True
13,990.256,ЦБО №256,с. Аксу,Туркестанская область,"ул. Жибек Жолы, 101А",42.4187532,69.8268153,7711,Открыто,True,True
106,990.324,ЦБО №324 ,Сарыагаш,Туркестанская область,"ул.Майлыкожа, б/н",41.457831,69.16468,7711,Открыто,True,True
47,980.000,ЦБО Центральное,Семей,Абайская область,ул. Шакарима 65,50.4167187,80.2553258,7711,Открыто,True,True
46,700.326,ЦБО № 326,Степногорск,Акмолинская область,"4 мкр., здание 86 А",52.3465045,71.8890451,7711,Открыто,True,True
80,230.285,ЦБО №285,Талгар,Алматинская область,"ул.Леонова/Гагарина, 92 (возле районного Акимата)",43.3027251,77.2334146,7711,Открыто,True,True
72,240.000,ЦБО Центральное,Талдыкорган,Алматинская область,"ул.Биржан Сал, 77А",45.0155378,78.3780215,7711,Открыто,True,True
85,960.000,ЦБО Центральное,Тараз,Жамбылская область,"ул. Айтеке би, д. 6",42.8958528,71.3753572,7711,Открыто,True,True
90,960.316,ЦБО №316,Тараз,Жамбылская область,"ул. Толе Би, 110",42.9018758,71.3429547,7711,Открыто,True,True
104,600.195,ЦБО №195,Темиртау,Карагандинская область,"пр.Металлургов, 34а",50.0519164,72.9656523,7711,Открыто,True,True
26,400.011,ЦБО №11,Теренколь,Павлодарская область,"ул. Ёлгина, д. 88""а""",53.0595926,76.1131183,7711,Открыто,True,False
68,990.000,ЦБО №343,Туркестан,Туркестанская область,"пр. Тауке хана, строение 272",43.3009364,68.2615697,7711,Открыто,True,True
2,940.181,ЦБО №181,Уральск,Западно-Казахстанская область,"пр. Н.Назарбаева, д 203",51.2123688,51.3664219,7711,Открыто,True,True
15,940.309,VIP центр №309,Уральск,Западно-Казахстанская область,ул. Жунисова 99,51.203777,51.37395,7711,Открыто,True,True
71,940.000,ЦБО Центральное,Уральск,Западно-Казахстанская область,ул. Г.Караша д. 31,51.1977447,51.3722185,7711,Открыто,True,True
3,900.000,ЦБО Центральное,Усть-Каменогорск,Восточно-Казахстанская область,"ул. Кабанбай батыра, д. 120/1",49.9504074,82.6378997,7711,Открыто,True,True
9,900.296,ЦБО №296,Усть-Каменогорск,Восточно-Казахстанская область,"пр. Н. Назарбаева, 2",49.9570546,82.6127558,7711,Открыто,True,True
30,900.297,ЦБО №297,Усть-Каменогорск,Восточно-Казахстанская область,"территория АО ""УКТМК"" в здании УКК УК ТМК, п. Новая Согра",50.028349,82.763727,7711,Открыто,True,True
89,960.212,ЦБО №212,Шу,Жамбылская область,"ул. Кали Усембаев, д. 8А",43.606641,73.76121,7711,Открыто,True,True
52,950.313,ЦБО №313,Шымкент,Шымкент,"ул. Торекулова, 1а",42.3281508,69.594424,7711,Открыто,True,True
53,950.000,ЦБО Центральное,Шымкент,Шымкент,"ул. Желтоксан, д.  17/6",42.3245866,69.5971153,7711,Открыто,True,True
54,950.245,VIP-центр №245,Шымкент,Шымкент,"ул. Желтоксан, д. 17",42.3247705,69.5969195,7711,Открыто,False,False
57,950.112,ЦБО №112,Шымкент,Шымкент,"ул. Мангельдина, д. 43/1",42.3224897,69.5746079,7711,Открыто,True,True
58,950.312,ЦБО №312,Шымкент,Шымкент,"ул. Рыскулова, 22 А",42.342649,69.621899,7711,Открыто,True,True
76,950.157,ЦБО №157,Шымкент,Шымкент,"пр. Тауке-Хана, д. 8, квартира 21",42.3192851,69.5923762,7711,Открыто,True,True
60,700.263,ЦБО №263,Щучинск,Акмолинская область,"ул. Б.Момышулы, д. 29",52.9391998,70.2002844,7711,Открыто,True,False
100,400.261,ЦБО №261,Экибастуз,Павлодарская область,"ул. М.Жүсіп, д. 92/1",51.7144117,75.3328251,7711,Открыто,True,True
75,300.080,ЦБО №80,Акколь,Акмолинская область,"ул. Нурмагамбетова, д. 84",51.9954582,70.9578083,7711,Открыто,True,True
